situacaoEmpresa,tipoEmpresa,cnpj,razaoSocial,endereco,bairro,codIBGEmunicipio,municipio,uf,cep,telefone,motoristasHabilitados,rodoviarioAtivo,semiurbanoAtivo,fretamentoAtivo,codigoTAFfretamento,emailContatoRegular,emailContatoFretamento,tipoOutorgaRodoviario,tipoOutorgaSemiurbano,tipoOutorgaFretamento,dataAutorizacaoRodoviario,dataVigenciaRodoviario,dataAutorizacaoSemiurbano,dataVigenciaSemiurbano,dataAutorizacaoFretamento,dataVigenciaFretamento,numLinhasAtivasRodoviarioInterestadual,numLinhasAtivasSemiurbanoInterestadual,numLicencasFretamento12mesesInterestadual,numLinhasAtivasRodoviarioInternacional,numLinhasAtivasSemiurbanoInternacional,numLicencasFretamento12mesesInternacional,numVeiculosTipoOnibus,numVeiculosTipoMicroOnibus,numVeiculosTipoSemiurbano,numVeiculosAtivosRodoviario,numVeiculosAtivosSemiurbano,numVeiculosAtivosFretamento,numViagensAcumAnoRodoviarioInterestadual,numViagensAcumAnoSemiurbanoInterestadual,numLicencasAcumAnoFretamentoInterestadual,numPassageirosAcumAnoRodoviarioInterestadual,numPassageirosAcumAnoSemiurbanoInterestadual,numPassageirosAcumAnoFretamentoInterestadual,numViagensAcumAnoRodoviarioInternacional,numViagensAcumAnoSemiurbanoInternacional,numLicencasAcumAnoFretamentoInternacional,numPassageirosAcumAnoRodoviarioInternacional,numPassageirosAcumAnoSemiurbanoInternacional,numPassageirosAcumAnoFretamentoInternacional,dataReferencia
ativa,nacional,00.128.801/0001-37,VIAÇÃO PARANAIBA LTDA.,Rua Emanuel Xavier Rabelo - nº 123 - Planalto,,521150.0,ITUMBIARA,GO,75536060.0,(64) 3404-1203,3,não,sim,não,na     ,edmar.diretoria@viacaoparanaiba.com.br,,na,na,na,,,31343.0,42704.0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43556
ativa,nacional,01.016.989/0032-90,TRANSBRASILIANA - TRANSPORTE E TURISMO LTDA.,Avenida Perimetral Norte - nº 3442 - Vila João Vaz,,520870.0,GOIANIA,GO,74445190.0,(62) 4013-6183,375,não,sim,não,na     ,marciodiniz@rapidomarajo.com.br,,AUTORIZAÇÃO JUDICIAL,AUTORIZAÇÃO JUDICIAL,na,43207.0,42704.0,43207.0,42704.0,,,37,1,0,0,0,0,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43556
ativa,nacional,02.227.767/0001-83,EXPRESSO SÃO JOSÉ DO TOCANTINS LTDA.,Logradouro: BRASIL NORTENúmero: 1655Bairro: CIDADE JARDIM,,520110.0,ANAPOLIS,GO,75045190.0,(62) 3311-1900,25,não,sim,não,na     ,diretoria@gruposaojose.adm.br,,AUTORIZAÇÃO,na,na,42559.0,42704.0,41470.0,42704.0,,,3,1,0,0,0,0,11,0,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,43556
ativa,nacional,03.103.551/0001-79,ROTA DO SOL TRANSPORTE E TURISMO LTDA,"SCIA QD. 14, CONJ. 11, LOTE 02 - SETOR INDUSTRIAL - GUARÁ",,530010.0,BRASILIA,DF,71250155.0,61 3245-2615,31,não,sim,não,na     ,MARCOS@ROTABSB.COM.BR,,na,na,na,,,41738.0,42704.0,,,0,1,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,43556
ativa,nacional,03.233.439/0001-52,KANDANGO TRANSPORTES E TURISMO LTDA.,QS 9 Rua 123 - nº lote 3 - Areal (Águas Claras),,530010.0,BRASILIA,DF,71977720.0,(61) 3964-9122,594,não,sim,não,na     ,catedralturismo@catedralturismo.com.br,,AUTORIZAÇÃO,na,na,42370.0,42704.0,41738.0,42704.0,,,63,3,250,0,0,1,78,0,35,78,35,0,0,0,18,0,0,566,0,0,0,0,0,0,43556
ativa,nacional,03.339.033/0001-59,CIRCULAR NOSSA SENHORA APARECIDA LTDA.,Av Julio Campos - nº Km 03 - Setor Industrial,,510180.0,BARRA DO GARCAS,MT,78600000.0,(66) 3401-1515,2,não,sim,não,na     ,garcastur@brturbo.com.br,,na,na,na,,,43279.0,42704.0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43556
ativa,nacional,04.110.258/0001-00,R. A. DE SOUSA E CIA LTDA - EPP,Logradouro: FRANCISCO CARLOS JANSEN - TERMINAL RONúmero: BOX 11Bairro: PARQUE PI,,211220.0,TIMON,MA,65631240.0,(86) 9907-0410,104,não,sim,não,na     ,RAYONNEADV@HOTMAIL.COM,,AUTORIZAÇÃO JUDICIAL,na,na,41599.0,42704.0,42487.0,42704.0,,,13,1,0,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43556
ativa,nacional,04.257.238/0001-58,JOAFRA TRANSPORTES LTDA.,Loteam. Centro Ind. São Francisco - Quadra II B Lote 4 - João Paulo II,,291840.0,JUAZEIRO,BA,48908000.0,(74) 3612-7506,91,não,sim,não,na     ,joafratransportes@hotmail.com,,na,na,na,39072.0,42704.0,39072.0,42704.0,,,1,1,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,43556
ativa,nacional,06.048.466/0007-39,TAGUATUR - TAGUATINGA TRANSPORTE E TURISMO LTDA.,"AVENIDA LIBERDADE A/E B"" - Nº S/N - SETOR 3""",,520025.0,AGUAS LINDAS DE GOIAS,GO,72910000.0,(61) 3618-3636,436,não,sim,não,na     ,secretaria.sad@taguatur.com.br;,,na,na,na,42906.0,42704.0,25353.0,42704.0,,,1,4,0,0,0,0,18,0,264,18,264,0,0,0,0,0,0,0,0,0,0,0,0,0,43556
ativa,nacional,07.227.010/0001-03,OSVALDO MENDES & CIA LTDA. - EMPRESA DOIS IRMÃOS,Rua Quintino Bocaiúva (Sul) - nº 1023 - Nossa Senhora das Graças,,221100.0,TERESINA,PI,64016060.0,(99) 3212-2200,66,não,sim,não,na     ,d.irmaos@uol.com.br,,na,na,na,,,28306.0,42704.0,,,0,1,0,0,0,0,0,0,35,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,43556
ativa,nacional,08.836.842/0001-90,COUTINHO & FERREIRA SERVIÇOS E TRANSPORTE LTDA,"AV. ENGENHEIRO HEITOR ANTONIO EIRAS GARCIA, Nº 2651-B, SALA 01",,355030.0,SAO PAULO,SP,5564000.0,(11) 3569-7988,106,não,sim,não,358416,santiago@coutinhotransporte.com.br,atendimento@coutinhotransporte.com.br,na,na,AUTORIZAÇÃO,,,42986.0,42704.0,42601.0,,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,43556
ativa,nacional,11.377.706/0001-93,C & S PEIXOTO LTDA - EPP,"VIA CHICO MENDES, Nº 3837",,120040.0,RIO BRANCO,AC,69906312.0,(069)99294-4075; (069)98422-7406,4,não,sim,não,na     ,ronielecabral@cialatina.com,,na,na,na,,,42865.0,42704.0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43556
ativa,nacional,12.647.487/0001-88,VIACAO EXPRESSO PLANALTINA,"COND.  NOVA DIGNÉIA II - CONJ. A LOTES 16, 17 E 18  - SOBRADINHO",,530010.0,BRASILIA,DF,73017016.0,61- 3226-7424,153,não,sim,não,na     ,gomestt@yahoo.com.br,,na,na,na,,,28579.0,42704.0,,,0,3,0,0,0,0,0,0,102,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,43556
ativa,nacional,13.838.047/0001-70,CENTRAL EXPRESSO TRANSPORTE LTDA,QD. 115 - AREA PARA TERMINAL RODOVIÁRIO - PARTE A,,530010.0,BRASILIA,DF,72605155.0,,69,não,sim,não,na     ,CTEXPRESSO@GMAIL.COM,,na,na,na,,,41738.0,42704.0,,,0,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,43556
ativa,nacional,16.609.919/0001-17,TRANSPORTES ALÉM PARAÍBA LTDA.,Rua João de Castro - nº 17 - São José,,310150.0,ALEM PARAIBA,MG,36600000.0,(24) 2103-9985,5,não,sim,não,na     ,malheiros@salvini.com.br,,na,na,na,,,34232.0,42704.0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43556
ativa,nacional,19.339.415/0001-12,AUTO VIAÇÃO CAMBUI LTDA.,Logradouro: PREFEITO JOSE BARBOSANúmero: 97Bairro: JARDIM ANA MARIA,,311060.0,CAMBUI,MG,37600000.0,(35) 3431-4444,65,não,sim,não,310813,atanazio@autoviacaocambui.com.br,atanazio@autoviacaocambui.com.br,AUTORIZAÇÃO,AUTORIZAÇÃO,AUTORIZAÇÃO,42584.0,42704.0,22571.0,42704.0,42719.0,,5,1,147,0,0,0,28,0,0,22,0,27,0,0,16,0,0,591,0,0,0,0,0,0,43556
ativa,nacional,32.404.063/0001-08,VIAÇÃO PROGRESSO E TURISMO S/A,Logradouro: CONDESSA DO RIO NOVONúmero: 881Bairro: CENTRO,,330600.0,TRES RIOS,RJ,25803000.0,(24) 2251-5050,155,não,sim,não,332072,secretaria@viacaoprogresso.com.br,secretaria@viacaoprogresso.com.br,AUTORIZAÇÃO JUDICIAL,na,AUTORIZAÇÃO,42559.0,42704.0,27612.0,42704.0,42544.0,,23,1,405,0,0,0,70,0,0,52,0,62,0,0,90,0,0,3527,0,0,0,0,0,0,43556
