situacaoEmpresa,tipoEmpresa,cnpj,razaoSocial,endereco,bairro,codIBGEmunicipio,municipio,uf,cep,telefone,motoristasHabilitados,rodoviarioAtivo,semiurbanoAtivo,fretamentoAtivo,codigoTAFfretamento,emailContatoRegular,emailContatoFretamento,tipoOutorgaRodoviario,tipoOutorgaSemiurbano,tipoOutorgaFretamento,dataAutorizacaoRodoviario,dataVigenciaRodoviario,dataAutorizacaoSemiurbano,dataVigenciaSemiurbano,dataAutorizacaoFretamento,dataVigenciaFretamento,numLinhasAtivasRodoviarioInterestadual,numLinhasAtivasSemiurbanoInterestadual,numLicencasFretamento12mesesInterestadual,numLinhasAtivasRodoviarioInternacional,numLinhasAtivasSemiurbanoInternacional,numLicencasFretamento12mesesInternacional,numVeiculosTipoOnibus,numVeiculosTipoMicroOnibus,numVeiculosTipoSemiurbano,numVeiculosAtivosRodoviario,numVeiculosAtivosSemiurbano,numVeiculosAtivosFretamento,numViagensAcumAnoRodoviarioInterestadual,numViagensAcumAnoSemiurbanoInterestadual,numLicencasAcumAnoFretamentoInterestadual,numPassageirosAcumAnoRodoviarioInterestadual,numPassageirosAcumAnoSemiurbanoInterestadual,numPassageirosAcumAnoFretamentoInterestadual,numViagensAcumAnoRodoviarioInternacional,numViagensAcumAnoSemiurbanoInternacional,numLicencasAcumAnoFretamentoInternacional,numPassageirosAcumAnoRodoviarioInternacional,numPassageirosAcumAnoSemiurbanoInternacional,numPassageirosAcumAnoFretamentoInternacional,dataReferencia,Coluna1,Coluna2,Coluna3,Coluna4
ativa,nacional,3865605000133,1A - GRANTURISMO TRANSPORTE LTDA ME,PORTO RICO Nº206,SUMARÉ,430060,ALVORADA,RS,84824080,51-84231972,0,não,não,sim,43.0019,,granturismo17@hotmail.com,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,42698,NULL,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,42705,,,,
ativa,nacional,3868110000168,2000 TURISMO LTDA,"RUA ABÍLIO DE OLIVEIRA MAIA, 64/66",CHÁCARA POÇOS DE CALDAS,315180,POÇOS DE CALDAS,MG,37701000,35-3722-2505,12,não,não,sim,31.2589,,doismil.turismo@outcenter.com.br,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,42207,42938,0,0,1,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,42705,,,,
ativa,nacional,7966462000107,4 VENTOS VIAGENS LTDA.,"RUA MAJOR ACYLINO DE CASTRO, 294",VILA YOLANDA,410830,FOZ DO IGUAÇU,PR,85853260,45-9980-2888,24,não,não,sim,41.6907,,4ventosviagens@gmail.com,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,42293,NULL,0,0,8,0,0,10,4,0,0,0,0,4,0,0,5,0,0,170,0,0,7,0,0,203,42705,,,,
ativa,nacional,21803876000146,4S TRANSPORTE E TURISMO EIRELI - ME,"AV. ANTONIO CARLOS BENJAMIM DOS SANTOS,1474,CONJ. 1",JARDIM MYRNA,355030,SAO PAULO,SP,4856070,11-999962453,0,não,não,sim,35.9992,,4slocacaoetransportes@gmail.com,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,42698,NULL,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,42705,,,,
ativa,nacional,21155563000129,4SPETH TRANSPORTES LTDA - ME,"RUA TAPAJOS, Nº 609",SANTO ONOFRE,410480,CASCAVEL,PR,85806290,45-3040-1467,2,não,não,sim,41.8991,,egstur15@gmail.com,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,42318,NULL,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,24,0,0,1,0,0,29,42705,,,,
ativa,nacional,21839800000170,A & T TRANSPORTES LTDA - ME,RUA GUILHERME OSCAR ODY 528 SALA 01,CANUDOS,431340,NOVO HAMBURGO,RS,93540130,51-92530808,2,não,não,sim,43.9427,,attransportesnh@gmail.com,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,42510,NULL,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,42705,,,,
ativa,nacional,17530211000139,A A DE RESENDE- TRANSPORTES E TURISMO - EIRELI,"PRAÇA CORONEL SOUSA MAIA, 54-B",CENTRO,315420,RESENDE COSTA,MG,36340000,32-33541055,12,não,não,sim,31.8,,resendeturismo@hotmail.com,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,42293,NULL,0,0,28,0,0,0,4,0,0,0,0,4,0,0,22,0,0,928,0,0,0,0,0,0,42705,,,,
ativa,nacional,5121029000145,A E TRANSPORTE E TURISMO LTDA,"RUA MIGUEL ABDALA, 164 A",CENTRO,241400,TANGARA,RN,59240000,84-3292-2469,10,não,não,sim,24.2097,,hilttonrocha@bol.com.br,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,42571,NULL,0,0,22,0,0,0,4,0,0,0,0,4,0,0,12,0,0,577,0,0,0,0,0,0,42705,,,,
ativa,nacional,11386081000126,A M TURISMO FORMIGA EIRELI - EPP,"RUA HORTENCIA RODRIGUES DE OLIVEIRA, 254",NOVO HORIZONTE,312610,FORMIGA,MG,35570000,37-999885777-988239399,2,não,não,sim,31.9244,,wederjoliveira@hotmail.com,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,42405,NULL,0,0,4,0,0,0,1,1,0,0,0,2,0,0,2,0,0,48,0,0,0,0,0,0,42705,,,,
ativa,nacional,11307554000152,A MERLIN & CIA LTDA ME,"AV ESTRATÉGICA, Nº 2351",CENTRO,411530,MARIOPOLIS,PR,85525000,46-9108-8275,4,não,não,sim,41.8937,,fernanda@econtabil.com; amerlincialtda@gmail.com,na,na,AUTORIZAÇÃO,NULL,NULL,NULL,NULL,42282,NULL,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,12,0,0,0,0,0,0,42705,,,,
