situacaoEmpresa,tipoEmpresa,cnpj,razaoSocial,endereco,bairro,codIBGEmunicipio,municipio,uf,cep,telefone,motoristasHabilitados,rodoviarioAtivo,semiurbanoAtivo,fretamentoAtivo,codigoTAFfretamento,emailContatoRegular,emailContatoFretamento,tipoOutorgaRodoviario,tipoOutorgaSemiurbano,tipoOutorgaFretamento,dataAutorizacaoRodoviario,dataVigenciaRodoviario,dataAutorizacaoSemiurbano,dataVigenciaSemiurbano,dataAutorizacaoFretamento,dataVigenciaFretamento,numLinhasAtivasRodoviarioInterestadual,numLinhasAtivasSemiurbanoInterestadual,numLicencasFretamento12mesesInterestadual,numLinhasAtivasRodoviarioInternacional,numLinhasAtivasSemiurbanoInternacional,numLicencasFretamento12mesesInternacional,numVeiculosTipoOnibus,numVeiculosTipoMicroOnibus,numVeiculosTipoSemiurbano,numVeiculosAtivosRodoviario,numVeiculosAtivosSemiurbano,numVeiculosAtivosFretamento,numViagensAcumAnoRodoviarioInterestadual,numViagensAcumAnoSemiurbanoInterestadual,numLicencasAcumAnoFretamentoInterestadual,numPassageirosAcumAnoRodoviarioInterestadual,numPassageirosAcumAnoSemiurbanoInterestadual,numPassageirosAcumAnoFretamentoInterestadual,numViagensAcumAnoRodoviarioInternacional,numViagensAcumAnoSemiurbanoInternacional,numLicencasAcumAnoFretamentoInternacional,numPassageirosAcumAnoRodoviarioInternacional,numPassageirosAcumAnoSemiurbanoInternacional,numPassageirosAcumAnoFretamentoInternacional,dataReferencia
ativa,nacional,00.018.127/0001-38,TOCANTINS TRANSPORTE E TURISMO LTDA,"Q 612 SUL, ALAMEDA 4, LT 01-A - PLANO DIRETOR SUL",,172100,PALMAS,TO,77022100,,46,sim,não,sim,170011,turismo@tocantinstransporte.com.br,turismo@tocantinstransporte.com.br,AUTORIZAÇÃO,na,AUTORIZAÇÃO,42574,42704,,,42622,,3,0,69,0,0,0,7,0,0,7,0,14,0,0,36,23946,0,1694,0,0,0,0,0,0,43344
ativa,nacional,00.026.572/0001-40,RECPAZ TRANSPORTES E TURISMO LTDA,ALFREDO VIEIRA ALVES,TERMINAL INTERMODAL DE CARGAS (TIC),350950,CAMPINAS,SP,13069131,19-(19) 3223-8426,25,não,não,sim,351519,,exclusivaviagem@terra.com.br,na,na,AUTORIZAÇÃO,,,,,42488,,0,0,68,0,0,0,14,2,0,0,0,16,0,0,47,0,0,1555,0,0,0,0,0,0,43344
ativa,nacional,00.029.190/0001-70,ADIMARI VIAGENS E TURISMO LTDA,ROSALVO ADERALDO,CENTRO,351550,FERNANDOPOLIS,SP,15600000,17-(17) 3462-7490,34,não,não,sim,354354,,atendimento@adimaritur.com.br,na,na,AUTORIZAÇÃO,,,,,42663,,0,0,76,0,0,1,8,0,0,0,0,8,0,0,49,0,0,1479,0,0,1,0,0,53,43344
ativa,nacional,00.033.613/0001-25,SANTA IZABEL-TRANSPORTES E TURISMO LTDA,"AV.GOVERNADOR VALADARES, 1817 - CENTRO",,317040,UNAI,MG,38610000,38-3677-2211,47,sim,não,sim,311993,santaizabel@gruposantaizabel.com.br,santaizabel@gruposantaizabel.com.br,AUTORIZAÇÃO,na,AUTORIZAÇÃO,42590,42704,,,42328,,6,0,237,0,0,0,21,0,0,19,0,17,120123,0,162,0,0,6204,0,0,0,0,0,0,43344
ativa,nacional,00.058.517/0001-31,MACHADO TUR LTDA-ME,"RUA URUTAU N° 424,  APT 21 BLOCO A2",VILA CASCATA,410150,ARAPONGAS,PR,86701450,43-3055-4214,3,não,não,sim,419557,,machadovan@yahoo.com.br,na,na,AUTORIZAÇÃO,,,,,42562,,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,43344
ativa,nacional,00.068.575/0001-46,COMERCIO E TRANSPORTES CAPINZAL LTDA - ME,"RUA ANTONIO FERREIRA DO PRADO,100",SÃO CRISTOVÃO,420390,CAPINZAL,SC,89665000,49-3555-2082,19,não,não,sim,423870,,vanturcpz@yahoo.com.br,na,na,AUTORIZAÇÃO,,,,,42453,,0,0,131,0,0,57,10,1,0,0,0,11,0,0,91,0,0,2473,0,0,23,0,0,554,43344
ativa,nacional,00.077.971/0001-30,MATHEUS TRANSPORTES E SERVIÇOS LTDA,"AV. VASCO DA GAMA, Nº 250",ENGENHO VELHO DE BROTAS,292740,SALVADOR,BA,40240090,71-3382-3333,38,não,não,sim,29.000*,,satcar@satcartransportes.com.br,na,na,AUTORIZAÇÃO,,,,,43164,,0,0,26,0,0,0,0,0,0,0,0,0,0,0,13,0,0,329,0,0,0,0,0,0,43344
ativa,nacional,00.082.084/0001-50,I. J. TURISMO LTDA - ME,"RUA CARLOS GOMES, 3701",CENTRO,410480,CASCAVEL,PR,85801090,45-3224-8345,13,não,não,sim,413537,,ij@ijturismo.com.br,na,na,AUTORIZAÇÃO,,,,,42807,,0,0,34,0,0,23,2,2,0,0,0,4,0,0,25,0,0,225,0,0,13,0,0,116,43344
ativa,nacional,00.084.211/0001-50,TRANSPORTADORA TUR. BITTENCOURT E FANTINATI LTDA -ME,RUA NITEROI N&#65533; 1394,CENTRO,410190,ASSAI,PR,86220000,43-3262-3484,8,não,não,sim,416800,,bittencourtefantinati@hotmail.com,na,na,AUTORIZAÇÃO,,,,,42768,,0,0,0,0,0,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,43344
ativa,nacional,00.091.382/0001-06,OPÇÃO JCA TURISMO E FRETAMENTO LTDA,"RODOVIA AMARAL PEIXOTO, 2401",BALDEADOR,330330,NITEROI,RJ,24140005,21-3136-1001,230,não,não,sim,337440,,fernando.cunha@opcaofretur.com.br,na,na,AUTORIZAÇÃO,,,,,42510,,0,0,174,0,0,0,27,0,0,0,0,27,0,0,106,0,0,4501,0,0,0,0,0,0,43344
